Row Labels,Sum of Terakhir,Sum of Tertinggi,Sum of Pembukaan,Sum of Terendah
14/06/2016,1335.2,1335.2,1335.2,1335.2
14/06/2017,1348.2,1348.2,1348.2,1348.2
14/06/2018,1401,1401,1401,1401
14/06/2019,1381.5,1389.2,1389.2,1379.8
14/07/2011,1589,1592.8,1586.3,1583.6
14/07/2014,1460.7,1332.8,1332.8,1304.7
14/07/2015,1252.4,1252.4,1252.4,1252.4
14/07/2016,1387.7,1387.7,1387.7,1387.7
14/07/2017,1298.8,1289,1289,1289
14/07/2020,1841.5,1843,1834.2,1819.3
14/08/2012,1599.4,1615.6,1612.8,1591.2
14/08/2013,1334,1336.3,1317.7,1317.7
14/08/2014,1469.1,1316.4,1311.8,1309.7
14/08/2015,1202.3,1202.3,1202.3,1202.3
14/08/2017,1358.1,1358.1,1358.1,1358.1
14/08/2018,1275.9,1273.4,1273.4,1273.4
14/08/2019,1554,1553.1,1538.5,1532.6
14/08/2020,1949.8,1970,1963.8,1939.1
14/09/2011,1823.5,1843,1843,1809
14/09/2012,1769.8,1774.5,1771,1766
14/09/2015,1185.7,1185.7,1185.7,1185.7
14/09/2016,1383.3,1386.7,1386.7,1379.2
14/09/2017,1399.2,1399.2,1399.2,1399.2
14/09/2018,1273.8,1273.8,1273.8,1273.8
14/09/2020,1963.7,1972.5,1948.9,1945.2
14/10/2011,1681.8,1683.3,1665.8,1665.8
14/10/2013,1276.4,1285.8,1275.8,1272.1
14/10/2014,1359.3,1235.9,1235.9,1235.8
14/10/2015,1243.6,1243.6,1243.6,1243.6
14/10/2016,1310.4,1310.4,1310.4,1310.4
14/10/2019,1527.1,1530,1529,1524.4
14/10/2020,1907.3,1917.5,1895.4,1885
14/11/2011,1777.8,1779,1779,1779
